0	-0.0479
100.1	-0.0614
200	-0.0665
300	-0.0707
399.9	-0.0694
500	-0.0584
600.1	-0.0459
700	-0.0174
800	0.0347
899.9	0.1027
1000	0.1580
1100.1	0.2112
1200	0.2384
1300	0.2824
1399.9	0.3150
1500	0.3617
1600.1	0.3881
1700	0.4061
1800	0.4843
1899.9	0.5440
2000	0.5563
2100.1	0.5625
2200	0.5420
2300	0.5275
2399.9	0.5112
2500	0.4906
2600.1	0.4631
2700	0.4476
2800	0.4401
2899.9	0.4319
3000	0.4456
3100.1	0.4504
3200	0.4327
3300	0.4090
3399.9	0.3729
3500	0.3197
3600.1	0.2466
3700	0.1612
3800	0.0607
3899.9	-0.0570
4000	-0.1823
4100.1	-0.2812
4200	-0.3859
4300	-0.4709
4399.9	-0.5350
4500	-0.5739
4600.1	-0.6051
4700	-0.6069
4800	-0.5796
4899.9	-0.5455
5000	-0.4432
5100.1	-0.3732
5200	-0.2953
5300	-0.2117
5399.9	-0.1446
5500	-0.0702
5600.1	-0.0034
5700	0.0166
5800	0.0265
5899.9	-0.0083
6000	-0.0429
6100.1	-0.1024
6200	-0.1798
6300	-0.2891
6399.9	-0.4124
6500	-0.5126
6600.1	-0.6375
6700	-0.7690
6800	-0.8734
6899.9	-0.9937
7000	-1.1060
7100.1	-1.2012
7200	-1.3051
7300	-1.3929
7399.9	-1.4504
7500	-1.5300
7600.1	-1.5768
7700	-1.6067
7800	-1.6666
7899.9	-1.7091
8000	-1.7298
8100.1	-1.7157
8200	-1.6877
8300	-1.6600
8399.9	-1.5928
8500	-1.5379
8600.1	-1.4636
8700	-1.3421
8800	-1.2228
8899.9	-1.0725
9000	-0.9231
9100.1	-0.8015
9200	-0.6872
9300	-0.5995
9399.9	-0.5320
9500	-0.4985
9600.1	-0.4998
9700	-0.5412
9800	-0.6230
9899.9	-0.7360
10000	-0.8871
10100	-1.0481
10200	-1.2483
10300	-1.4705
10400	-1.6603
10500	-1.8337
10600	-2.0112
10700	-2.1483
10800	-2.2688
10900	-2.4094
11000	-2.5488
11100	-2.7464
11200	-2.9158
11300	-3.0859
11400	-3.2034
11500	-3.2957
11600	-3.3570
11700	-3.4404
11800	-3.4671
11900	-3.5419
12000	-3.6186
12100	-3.7139
12200	-3.8322
12300	-3.9455
12400	-4.0865
12500	-4.2274
12600	-4.3495
12700	-4.4461
12800	-4.4939
12900	-4.6315
13000	-4.7827
13100	-4.9964
13200	-5.2044
13300	-5.4177
13400	-5.5883
13500	-5.7710
13600	-5.9223
13700	-6.0675
13800	-6.1513
13900	-6.2498
14000	-6.3716
14100	-6.5013
14200	-6.6412
14300	-6.7813
14400	-6.9179
14500	-7.0824
14600	-7.2646
14700	-7.4113
14800	-7.5724
14900	-7.7132
15000	-7.9290
15100	-8.1445
15200	-8.3371
15300	-8.5431
15400	-8.7674
15500	-8.9544
15600	-9.1503
15700	-9.3439
15800	-9.5786
15900	-9.7911
16000	-10.0660
16100	-10.3540
16200	-10.6100
16300	-10.8440
16400	-11.0720
16500	-11.2800
16600	-11.4910
16700	-11.6800
16800	-11.8300
16900	-11.9330
